OID_,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,IstRad,IstPKW,IstFuss,IstKrad,IstSonstige,ULICHTVERH,IstGkfz,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,UIDENTSTLAE,IstStrassenzustand,index_right,FID,SBZ,Name
227883,14,7,13,000,2021,10,17,4,3,1,5,0,1,0,0,0,0,0,"736198,922829782590270","5687894,665027620270848",12.387946341000031,51.29330503800003,14211006144200825410,0,4,4,4,Süd
227884,14,7,13,000,2021,12,10,5,3,5,3,1,1,0,0,0,0,0,"732383,122001442126930","5696305,135987021028996",12.338799386000062,51.37037319900003,14211202148110963250,0,8,8,8,Nordwest
227888,14,7,13,000,2021,12,14,7,3,1,5,1,1,0,0,0,0,0,"735390,021247321739793","5691312,542332185432315",12.37862027400007,51.32432009400003,14211211148410964630,0,4,4,4,Süd
227889,14,7,13,000,2021,12,18,3,3,5,3,1,1,0,0,0,2,0,"732843,797043426893651","5692082,357385011389852",12.342643646000056,51.33227822300006,14211228144200993340,1,5,5,5,Südwest
227894,14,7,13,000,2021,10,07,6,3,2,2,0,1,0,0,0,0,0,"739921,153917568735778","5693974,407103030011058",12.445324498000048,51.346319684000036,14211015148210782730,0,2,2,2,Ost
227897,14,7,13,000,2021,10,17,6,2,5,3,0,1,0,1,0,1,0,"738387,445998731069267","5696433,219269279390574",12.424989839000034,51.36903485200003,14211015144200783480,1,1,1,1,Nordost
227900,14,7,13,000,2021,10,16,5,3,2,2,0,1,0,0,1,0,0,"729921,143798742443323","5690166,759199379011989",12.29952647600004,51.31627070800005,14211007148310767430,0,6,6,6,West
227902,14,7,13,000,2021,10,13,5,3,3,2,0,0,0,0,1,0,0,"735379,449001487344503","5697763,326985619962215",12.382735196000056,51.38222858700004,14211014148110783090,1,9,9,9,Nord
227903,14,7,13,000,2021,12,19,3,2,5,3,1,1,0,0,0,2,0,"732939,825585188344121","5692914,257907878607512",12.344563644000061,51.339706586000034,14211214148323081120,1,7,7,7,Alt-West
227905,14,7,13,000,2021,12,17,2,3,6,4,0,1,1,0,0,2,0,"742260,948691291734576","5694026,315475078299642",12.478893644000038,51.34579338700007,14211220144200065980,0,2,2,2,Ost
227909,14,7,13,000,2021,12,20,3,3,0,1,1,0,0,0,0,2,0,"729255,949001390486956","5694931,263988347724080",12.29306389800007,51.35931063100003,14211214148310963480,1,7,7,7,Alt-West
227916,14,7,13,000,2021,12,13,6,3,3,5,0,1,0,1,0,0,0,"733697,489910281263292","5695388,541982868686318",12.357046723000053,51.36160617500008,14211203144200922380,0,9,9,9,Nord
227917,14,7,13,000,2021,11,19,6,3,0,7,0,0,0,0,1,2,0,"735650,271629256196320","5693444,748143438249826",12.383758965000027,51.34335168000007,14211119148410880940,0,0,0,0,Mitte
227930,14,7,13,000,2021,11,18,5,3,5,2,0,1,0,0,0,2,0,"734796,642773268744349","5691471,892656741663814",12.370224139000072,51.32599567400007,14211104148410922440,1,0,0,0,Mitte
227931,14,7,13,000,2021,10,10,2,3,3,2,1,1,0,0,0,0,0,"735699,338370179757476","5695709,830280706286430",12.385962327000072,51.363663280000026,14211004145500783530,1,9,9,9,Nord
227938,14,7,13,000,2021,10,14,4,3,5,2,0,1,0,0,1,0,0,"734404,896001487039030","5692968,703986184671521",12.365596202000063,51.33959328900005,14211013148410783130,0,0,0,0,Mitte
227940,14,7,13,000,2021,11,19,2,3,6,7,0,1,1,0,0,2,0,"734848,525515596382320","5691821,255528945475817",12.371197668000036,51.32911028700005,14211129148210912651,0,0,0,0,Mitte
227945,14,7,13,000,2021,10,14,7,3,6,4,1,0,1,0,0,0,0,"737232,255060464143753","5692153,202770279720426",12.405571983000073,51.33110081400008,14211002148410737930,0,3,3,3,Südost
227948,14,7,13,000,2021,11,08,5,3,6,4,1,0,1,0,0,0,0,"735047,351056028157473","5691295,198517907410860",12.37369955500003,51.32430607500004,14211104148210834820,1,4,4,4,Süd
227949,14,7,13,000,2021,10,14,2,3,5,3,1,1,0,0,0,0,0,"737095,840819475241005","5696340,207225056365132",12.406406226000058,51.36874053000008,14211004144200768610,0,1,1,1,Nordost
227955,14,7,13,000,2021,10,14,5,3,5,2,1,1,0,0,0,0,0,"731597,808676984161139","5690701,430580150336027",12.32389171400007,51.32039055300004,14211014148310770840,1,5,5,5,Südwest
227958,14,7,13,000,2021,11,11,5,3,3,6,1,1,0,0,0,0,0,"740268,893001561053097","5697687,369983104988933",12.452816399000028,51.37949894500008,14211111144200858650,0,1,1,1,Nordost
227959,14,7,13,000,2021,11,17,4,3,5,2,0,1,0,0,0,2,0,"734637,337054611183703","5695396,676783546805382",12.370527886000048,51.36129187200004,14211117148110923460,1,9,9,9,Nord
227962,14,7,13,000,2021,10,11,6,3,5,5,1,1,0,0,0,0,0,"735226,751814570277929","5693943,900477273389697",12.378018668000038,51.348007608000046,14211001144320936280,0,0,0,0,Mitte
227965,14,7,13,000,2021,10,08,3,3,6,7,0,1,0,0,1,0,0,"732057,640253155492246","5696372,981867006048560",12.334175771000048,51.37111529500004,14211012148222769770,1,8,8,8,Nordwest
227970,14,7,13,000,2021,11,17,3,3,5,3,0,1,0,0,0,2,0,"737333,681789351627231","5693071,732586132362485",12.40763713900003,51.33930329300006,14211116144100891030,0,2,2,2,Ost
227972,14,7,13,000,2021,12,17,4,3,5,3,0,1,0,1,0,1,0,"737406,507001533173025","5693749,979984715580940",12.40913292700003,51.34536087300006,14211215144000067770,0,2,2,2,Ost
227975,14,7,13,000,2021,11,20,2,3,5,6,1,1,0,0,0,2,0,"732687,907865731976926","5691861,529179746285081",12.340265627000065,51.33035970900005,14211101148310834850,0,5,5,5,Südwest
227976,14,7,13,000,2021,09,11,5,3,5,3,1,1,0,0,0,0,0,"734940,212191864848137","5698629,007829567417502",12.37700708500006,51.39018109500006,14210930148110767950,0,9,9,9,Nord
227986,14,7,13,000,2021,10,06,6,3,5,3,1,1,0,0,0,2,0,"739926,381746259517968","5693560,572779320180416",12.44512058500004,51.34260302600006,14211022144200807650,0,2,2,2,Ost
227987,14,7,13,000,2021,10,16,6,3,7,1,0,1,0,0,0,0,0,"733580,209282802417874","5695431,264318825677037",12.355393152000033,51.36203789700005,14211029148110824730,0,9,9,9,Nord
227988,14,7,13,000,2021,09,07,4,3,5,3,0,1,0,0,1,0,0,"737127,973367688246071","5691839,676374049857259",12.403869196000073,51.328330048000055,14210929148410738820,0,3,3,3,Südost
227993,14,7,13,000,2021,10,08,6,3,6,4,0,1,1,0,0,0,0,"727684,204001372680068","5690648,944989027455449",12.267789045000029,51.321498811000026,14211008144200782680,0,6,6,6,West
227994,14,7,13,000,2021,12,10,4,3,2,2,0,1,0,0,0,0,0,"734809,017020740546286","5692555,650674618780613",12.371115540000062,51.335718831000065,14211208148410020740,0,0,0,0,Mitte
