FID_left,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrasse,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID_right,SBZ,Name
122732,122733,14,7,13,000,2016,02,22,3,3,5,3,2,0,0,1,0,0,0,0,"738217,726000000020000","5691086,923399999700000",12.418979268,51.321118077,3,3,3,Südost
122743,122744,14,7,13,000,2016,02,11,3,3,2,6,0,1,0,1,0,0,0,0,"734610,796899999960000","5693223,455600000000000",12.368714868,51.341795135,0,0,0,Mitte
122745,122746,14,7,13,000,2016,03,10,5,3,2,6,0,0,0,1,0,0,0,0,"735107,499900000050000","5694625,367499999700000",12.37675945,51.354174013,0,0,0,Mitte
122748,122749,14,7,13,000,2016,02,16,7,3,3,2,0,0,1,1,0,0,0,0,"735320,620800000030000","5692629,788200000300000",12.378495831,51.336172862,0,0,0,Mitte
122757,122758,14,7,13,000,2016,02,15,7,3,6,4,0,0,0,1,1,0,0,0,"734509,069299999970000","5695157,739600000000000",12.368531255,51.359200031,9,9,9,Nord
122761,122762,14,7,13,000,2016,02,08,7,3,1,5,0,0,0,1,0,1,0,0,"737964,742199999980000","5693686,306900000200000",12.417091284,51.34455597,2,2,2,Ost
122772,122773,14,7,13,000,2016,03,07,5,2,4,2,0,0,0,1,0,0,0,0,"741208,917900000000000","5696063,924700000300000",12.465197207,51.364529259,2,2,2,Ost
122773,122774,14,7,13,000,2016,02,07,2,3,5,3,0,1,1,1,0,0,0,0,"738069,414699999960000","5690057,294999999900000",12.416167427,51.311938188,3,3,3,Südost
122778,122779,14,7,13,000,2016,03,12,6,2,5,3,0,0,1,1,0,0,0,0,"735634,420000000040000","5696645,794300000200000",12.385651697,51.372091631,9,9,9,Nord
122779,122780,14,7,13,000,2016,02,08,6,3,5,3,0,0,1,1,0,0,0,0,"732552,842999999990000","5692611,185999999800000",12.338819593,51.337144393,7,7,7,Alt-West
