OBJECTID,UIDENTSTLAE,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrassenzustand,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID,SBZ,Name
251086,14221103148310852460,14,7,13,000,2022,11,18,5,3,5,3,2,0,1,1,0,0,0,0,"730583,674643439007923","5691541,205268369987607",12.3099061820001,51.328341052,7,7,7,Alt-West
251087,14221014148110738100,14,7,13,000,2022,10,07,6,3,2,6,1,0,0,1,0,0,0,1,"740347,478726787958294","5698184,953925229609013",12.4542801000001,51.383931783,1,1,1,Nordost
251088,14221108148110822850,14,7,13,000,2022,11,06,3,3,2,2,0,0,0,1,0,0,0,0,"737338,970001528970897","5694476,211984730325639",12.408649122,51.351907757,1,1,1,Nordost
251096,14221113143263830490,14,7,13,000,2022,11,22,1,3,5,2,2,0,0,0,0,0,0,1,"735487,624653610051610","5693436,381861650384963",12.3814223140001,51.3433439680001,0,0,0,Mitte
251098,14221210148410916790,14,7,13,000,2022,12,13,7,3,5,3,0,2,1,1,0,0,0,0,"734770,112952881958336","5693731,181506769731641",12.3713329460001,51.3462869250001,0,0,0,Mitte
251104,14221109144200814450,14,7,13,000,2022,11,07,4,3,5,3,0,1,1,1,0,0,0,0,"729334,198850192013197","5698795,783502330072224",12.296679549,51.3939709790001,8,8,8,Nordwest
251109,14221201148110887060,14,7,13,000,2022,12,07,5,3,2,6,0,1,0,1,0,0,0,0,"739657,148299745051190","5697942,972634309902787",12.444214711,51.3820516550001,1,1,1,Nordost
251122,14221018148210764400,14,7,13,000,2022,10,17,3,3,1,7,0,1,1,1,0,0,0,0,"735304,066683867946267","5690050,735470809973776",12.376556242,51.3130291940001,4,4,4,Süd
251124,14221122148410909390,14,7,13,000,2022,11,19,3,3,2,6,2,0,0,1,0,0,0,0,"734791,460978628951125","5692633,681660819798708",12.370915387,51.3364265170001,0,0,0,Mitte
251125,14221128144200886630,14,7,13,000,2022,11,04,2,3,5,3,2,0,0,1,0,0,0,0,"737504,442644648021087","5697072,443107440136373",12.412754697,51.3751423690001,1,1,1,Nordost
251126,14221120148110852150,14,7,13,000,2022,11,11,1,3,4,7,0,0,1,1,0,0,0,0,"733860,124851905973628","5695069,388384659774601",12.3591688500001,51.3586743870001,9,9,9,Nord
251128,14221207144200909700,14,7,13,000,2022,12,20,4,3,1,1,2,1,0,1,0,0,0,0,"735075,761074946029112","5696788,030642259865999",12.377733806,51.3735998710001,9,9,9,Nord
251129,14221213144200970250,14,7,13,000,2022,12,14,3,2,6,2,0,2,0,0,1,0,0,1,"742720,827170033007860","5692884,234735859557986",12.4847061360001,51.3353466950001,2,2,2,Ost
251130,14221024148410765330,14,7,13,000,2022,10,22,2,3,0,7,2,0,0,0,0,0,0,1,"734210,404040695051663","5692119,310987650416791",12.362250424,51.332048865,0,0,0,Mitte
251135,14221111148210931120,14,7,13,000,2022,11,15,6,3,6,7,0,0,0,1,1,0,0,0,"735679,870945504982956","5689241,344274849630892",12.3814042280001,51.305608335,4,4,4,Süd
251136,14221121148110843550,14,7,13,000,2022,11,09,2,3,2,6,0,2,0,1,0,0,0,0,"735967,492968815029599","5696575,096857770346105",12.390381453,51.3713187650001,9,9,9,Nord
251137,14221125143263865150,14,7,13,000,2022,11,15,6,3,0,1,0,1,0,0,0,1,0,0,"728504,826188578037545","5697932,992931529879570",12.2842232400001,51.386560144,8,8,8,Nordwest
251138,14221027148221865190,14,7,13,000,2022,10,12,5,3,5,3,0,0,1,1,0,0,0,0,"735528,639001506962813","5692695,961985659785569",12.381520516,51.336680749,0,0,0,Mitte
