UNFALL_ID,FID_left,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrasse,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID_right,SBZ,Name,UIDENTSTLA,LICHT,STRZUSTAND,FID,OBJECTID_1,IstSonstige,UIDENTSTLAE,OID_,IstStrassenzustand,PLST
60,44638,44639,14,7,13,000,2016,03,15,5,3,2,6,0,0,0,1,0,0,0,0,"734471,439299999970000","5697039,203400000000000",12.369232315,51.376104292,9,9.0,9,Nord,,,,,,,,,,
61,44662,44663,14,7,13,000,2016,03,16,3,3,2,6,0,0,0,1,0,0,0,1,"736464,862800000000000","5696399,296400000300000",12.397397265,51.369533925,9,9.0,9,Nord,,,,,,,,,,
62,44666,44667,14,7,13,000,2016,03,14,3,3,2,6,0,0,0,1,0,0,0,0,"736217,477700000050000","5693800,030600000200000",12.392124003,51.346305403,0,0.0,0,Mitte,,,,,,,,,,
63,44689,44690,14,7,13,000,2016,02,14,5,3,5,3,0,0,1,1,0,0,0,0,"734614,948899999960000","5690188,476300000200000",12.366776516,51.314550088,4,4.0,4,Süd,,,,,,,,,,
64,44698,44699,14,7,13,000,2016,03,18,5,3,5,3,0,1,1,1,0,0,0,0,"736339,115699999970000","5694744,270600000400000",12.394494396,51.354730508,1,1.0,1,Nordost,,,,,,,,,,
65,44710,44711,14,7,13,000,2016,03,16,2,3,2,6,0,0,0,1,0,0,0,0,"743111,021199999960000","5695102,292399999700000",12.49181134,51.355087696,2,2.0,2,Ost,,,,,,,,,,
66,44729,44730,14,7,13,000,2016,02,13,2,3,2,2,0,1,1,1,0,0,0,0,"735076,870699999970000","5690238,860799999900000",12.373426083,51.314811763,4,4.0,4,Süd,,,,,,,,,,
67,44730,44731,14,7,13,000,2016,03,12,4,3,0,7,0,0,0,0,0,1,0,0,"736468,046699999950000","5693269,077800000100000",12.395362847,51.341435317,2,2.0,2,Ost,,,,,,,,,,
68,44751,44752,14,7,13,000,2016,03,19,5,3,5,3,2,1,0,1,0,0,0,0,"728033,600699999950000","5684233,544400000000000",12.268698548,51.26376537,5,5.0,5,Südwest,,,,,,,,,,
69,44756,44757,14,7,13,000,2016,03,05,3,3,5,3,2,1,1,1,0,0,0,0,"728314,833400000000000","5697570,642500000100000",12.281264463,51.383383714,8,8.0,8,Nordwest,,,,,,,,,,
70,44760,44761,14,7,13,000,2016,03,07,3,3,5,2,0,0,1,1,0,0,0,0,"736340,545999999970000","5692486,798000000400000",12.393016523,51.334466428,3,3.0,3,Südost,,,,,,,,,,
71,44761,44762,14,7,13,000,2016,04,14,7,3,5,2,0,0,1,1,0,0,0,0,"736117,054200000010000","5693891,546199999700000",12.390745309,51.347168582,0,0.0,0,Mitte,,,,,,,,,,
72,44771,44772,14,7,13,000,2016,02,14,6,3,2,6,0,0,0,1,0,0,0,1,"736161,999199999960000","5694441,089900000000000",12.39175411,51.352082725,1,1.0,1,Nordost,,,,,,,,,,
73,44781,44782,14,7,13,000,2016,03,12,7,3,5,2,0,0,0,1,0,0,0,0,"740887,203199999990000","5696362,342899999600000",12.460786654,51.367344208,2,2.0,2,Ost,,,,,,,,,,
74,44800,44801,14,7,13,000,2016,03,17,7,3,6,4,1,0,0,1,1,0,0,0,"731484,724500000010000","5692725,549200000200000",12.323586431,51.338606791,7,7.0,7,Alt-West,,,,,,,,,,
75,44820,44821,14,7,13,000,2016,03,10,6,3,3,6,0,0,0,1,0,0,0,0,"728869,586499999980000","5684103,821000000500000",12.280577779,51.262265846,5,5.0,5,Südwest,,,,,,,,,,
76,44831,44832,14,7,13,000,2016,03,10,4,3,6,4,0,0,0,1,1,0,0,0,"735453,439299999970000","5693496,759499999700000",12.380972278,51.343900094,0,0.0,0,Mitte,,,,,,,,,,
77,44833,44834,14,7,13,000,2016,02,14,2,3,3,2,0,1,1,1,0,0,0,0,"729708,935999999990000","5693137,087000000300000",12.298401177,51.343021294,7,7.0,7,Alt-West,,,,,,,,,,
78,44841,44842,14,7,13,000,2016,02,09,5,3,5,3,0,0,0,1,0,0,0,0,"734615,674200000010000","5690178,224299999900000",12.366780162,51.314457762,4,4.0,4,Süd,,,,,,,,,,
79,44856,44857,14,7,13,000,2016,03,07,4,3,4,6,0,0,1,0,0,0,0,0,"736512,053599999980000","5692231,455400000300000",12.395304634,51.332103132,3,3.0,3,Südost,,,,,,,,,,
80,44883,44884,14,7,13,000,2016,03,07,3,2,8,1,0,1,0,1,0,0,0,0,"731546,584299999990000","5697118,053600000200000",12.327331641,51.378012177,8,8.0,8,Nordwest,,,,,,,,,,
81,44889,44890,14,7,13,000,2016,03,06,3,3,5,3,0,1,1,0,0,0,0,1,"736491,326400000020000","5692234,885900000100000",12.395009917,51.332142543,0,0.0,0,Mitte,,,,,,,,,,
