OBJECTID_1,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,index_right,FID,SBZ,Name
165685,14,7,13,000,2018,02,15,5,2,5,3,0,1,1,0,0,0,0,0,"735559,799299999960000","5692149,144500000400000",12.38160552100004,51.33175944000004,0,0,0,Mitte
165687,14,7,13,000,2018,02,08,5,3,5,3,0,0,1,0,0,0,1,1,"737195,350400000000000","5691164,132600000100000",12.404385024000021,51.32223820400003,3,3,3,Südost
165700,14,7,13,000,2018,01,07,4,3,0,7,0,1,0,0,0,0,0,0,"734769,959799999950000","5695541,121799999800000",12.372524780000049,51.36253368100006,9,9,9,Nord
165705,14,7,13,000,2018,01,08,4,3,9,7,0,0,1,0,0,0,0,0,"736137,445399999970000","5699430,876199999800000",12.39471690800002,51.39688195900004,9,9,9,Nord
165706,14,7,13,000,2018,01,15,4,3,5,3,0,0,1,0,0,0,1,0,"738457,500000000000000","5689670,173999999600000",12.42146685800003,51.30830095600004,3,3,3,Südost
165708,14,7,13,000,2018,01,18,4,3,6,7,0,0,1,1,0,0,0,0,"737113,119700000040000","5695083,321399999800000",12.405816142000049,51.357451464000064,1,1,1,Nordost
165716,14,7,13,000,2018,01,07,4,2,5,3,1,0,1,0,0,0,0,1,"735009,588299999940000","5691988,499900000200000",12.373615676000043,51.33054502300007,0,0,0,Mitte
165718,14,7,13,000,2018,01,16,4,2,4,6,2,1,0,0,0,0,0,1,"732472,877199999990000","5690593,473600000100000",12.336357501000066,51.319064626000056,5,5,5,Südwest
165719,14,7,13,000,2018,01,23,4,3,5,3,2,1,1,0,0,0,0,0,"737962,694900000000000","5693733,638899999700000",12.417093574000035,51.34498167700008,2,2,2,Ost
165731,14,7,13,000,2018,01,16,3,3,6,4,1,1,0,1,0,0,0,0,"737290,430199999940000","5692936,533400000100000",12.40692724400003,51.338107785000034,3,3,3,Südost
165733,14,7,13,000,2018,01,18,3,3,3,2,2,1,1,0,0,0,0,0,"738162,203600000010000","5689967,288300000100000",12.417436269000063,51.311091471000054,3,3,3,Südost
165750,14,7,13,000,2018,01,10,2,2,6,7,0,0,0,1,0,0,1,0,"740776,785999999960000","5695209,028099999800000",12.45842276600007,51.35703938800003,2,2,2,Ost
165751,14,7,13,000,2018,01,13,3,3,4,2,0,1,1,0,0,0,0,1,"737184,428900000060000","5693758,346199999600000",12.405955534000043,51.34552865900008,2,2,2,Ost
165753,14,7,13,000,2018,01,19,3,3,5,2,2,0,1,0,0,0,0,1,"730843,413599999970000","5693893,642900000300000",12.315152523000052,51.34935335800003,7,7,7,Alt-West
165757,14,7,13,000,2018,01,10,1,3,5,3,0,1,1,0,0,0,0,0,"740108,059000000010000","5687875,427000000100000",12.44389674200005,51.291497965000076,3,3,3,Südost
165758,14,7,13,000,2018,01,09,3,3,2,6,0,0,1,0,0,0,0,1,"736009,287099999960000","5699799,355600000400000",12.393122965000032,51.40024278200008,9,9,9,Nord
165759,14,7,13,000,2018,01,11,7,3,3,6,0,1,1,0,0,0,0,1,"732638,038700000030000","5692645,576200000000000",12.340062998000064,51.33741825800007,7,7,7,Alt-West
165760,14,7,13,000,2018,01,07,3,3,4,2,2,0,1,0,0,0,0,1,"729831,418100000010000","5694458,764499999600000",12.301010095000038,51.35483653600005,7,7,7,Alt-West
165761,14,7,13,000,2018,01,15,3,3,4,2,0,1,1,0,0,0,0,1,"736034,285500000000000","5692563,599100000200000",12.388678845000072,51.33528299400007,0,0,0,Mitte
165762,14,7,13,000,2018,01,14,7,3,1,5,0,0,1,0,0,0,1,1,"732528,358800000050000","5696264,179999999700000",12.340855504000046,51.36994611700004,8,8,8,Nordwest
165764,14,7,13,000,2018,01,14,7,3,2,6,0,0,1,0,0,0,0,0,"737050,038500000020000","5691570,110200000000000",12.402573314000051,51.32594286800003,3,3,3,Südost
165776,14,7,13,000,2018,01,06,6,3,6,4,2,0,1,1,0,0,0,1,"734368,290200000050000","5692928,204300000300000",12.36504493800004,51.339244834000056,0,0,0,Mitte
165779,14,7,13,000,2018,01,17,6,3,5,3,2,0,1,0,0,0,0,0,"735117,404199999990000","5693979,749900000200000",12.376474966000046,51.34837464000003,0,0,0,Mitte
165781,14,7,13,000,2018,01,19,6,2,5,3,2,1,1,0,0,0,0,1,"731812,185999999990000","5691274,892900000300000",12.327335770000047,51.32545113400005,5,5,5,Südwest
165782,14,7,13,000,2018,01,17,6,3,6,4,2,0,1,1,0,0,0,1,"735064,646500000030000","5690256,877399999600000",12.373262862000047,51.31497853700006,4,4,4,Süd
165790,14,7,13,000,2018,01,09,2,3,5,3,0,1,1,0,0,0,0,0,"735745,907000000010000","5693380,639999999700000",12.385087203000069,51.34273658400008,0,0,0,Mitte
